Portfolio,Year,Month,Gross,Credit,Net,
Portfolio E,2014,2014/07/01,400759.8,211978.33,188781.47,
Portfolio E,2014,2014/08/01,291412.51,167563.32,123849.19,
Portfolio E,2014,2014/09/01,699993.09,205357.27,494635.82,
Portfolio E,2014,2014/10/01,544425.12,281945.82,262479.3,
Portfolio E,2014,2014/11/01,383882.54,205506.39,178376.15,
Portfolio E,2014,2014/12/01,381474.23,174210.38,207263.85,
Portfolio E,2015,2015/01/01,472254.53,228677.3,243577.23,
Portfolio E,2015,2015/02/01,286660.31,184608.04,102052.27,
Portfolio E,2015,2015/03/01,354833.03,239664.62,115168.41,
Portfolio E,2015,2015/04/01,423361.89,251073.16,172288.73,
Portfolio A,2014,2014/01/01,35062.85,27812.83,7250.02,
Portfolio A,2014,2014/02/01,36044.3,28741.21,7303.09,
Portfolio A,2014,2014/03/01,20096.14,23430.81,-3334.67,
Portfolio A,2014,2014/04/01,29522.7,25297.36,4225.34,
Portfolio A,2014,2014/05/01,31389.74,18616.68,12773.06,
Portfolio A,2014,2014/06/01,27383.57,36162.62,-8779.05,
Portfolio A,2014,2014/07/01,64761.19,38189.41,26571.78,
Portfolio A,2014,2014/08/01,55073.97,52192.63,2881.34,
Portfolio A,2014,2014/09/01,51285,39475.5,11809.5,
Portfolio A,2014,2014/10/01,60407.64,43466.74,16940.9,
Portfolio A,2014,2014/11/01,34963.14,32744.1,2219.04,
Portfolio A,2014,2014/12/01,20899.66,22646.65,-1746.99,
Portfolio A,2013,2013/01/01,18207.45,15790.46,2416.99,
Portfolio A,2013,2013/02/01,25503.01,25047.3,455.71,
Portfolio A,2013,2013/03/01,9577.64,14241.3,-4663.66,
Portfolio A,2013,2013/04/01,27426.72,16777.96,10648.76,
Portfolio A,2013,2013/05/01,21732.05,14388.25,7343.8,
Portfolio A,2013,2013/06/01,30098.62,22558.88,7539.74,
Portfolio A,2013,2013/07/01,45525.05,43110.68,2414.37,
Portfolio A,2013,2013/08/01,25436.61,37380.14,-11943.53,
Portfolio A,2013,2013/09/01,28789.86,18227.88,10561.98,
Portfolio A,2013,2013/10/01,38632.99,23317.78,15315.21,
Portfolio A,2013,2013/11/01,27113.3,33685.09,-6571.79,
Portfolio A,2013,2013/12/01,38758.25,33876.47,4881.78,
Portfolio B,2013,2013/01/01,536.2,706.37,-170.17,
Portfolio B,2013,2013/02/01,1373.82,654.9,718.92,
Portfolio B,2013,2013/03/01,309.14,1451.99,-1142.85,
Portfolio B,2013,2013/04/01,4992.54,4774.32,218.22,
Portfolio B,2013,2013/05/01,10656.97,7158.97,3498,
Portfolio B,2013,2013/06/01,623.49,3348.28,-2724.79,
Portfolio B,2013,2013/07/01,4146.62,2709.01,1437.61,
Portfolio B,2013,2013/08/01,7120.07,6847.87,272.2,
Portfolio B,2013,2013/09/01,492.66,985.39,-492.73,
Portfolio B,2013,2013/10/01,2162.88,758.34,1404.54,
Portfolio B,2013,2013/11/01,754.61,2048.66,-1294.05,
Portfolio B,2013,2013/12/01,1165.2,1487.4,-322.2,
Portfolio C,2013,2013/01/01,100998.13,72075.23,28922.9,
Portfolio C,2013,2013/02/01,184023.58,63759.5,120264.08,
Portfolio C,2013,2013/03/01,150373,71366,79007,
Portfolio C,2013,2013/04/01,176994.18,85401.36,91592.82,
Portfolio C,2013,2013/05/01,154647.85,77609.81,77038.04,
Portfolio C,2013,2013/06/01,205563.84,96009.35,109554.49,
Portfolio C,2013,2013/07/01,198277.39,120362.32,77915.07,
Portfolio C,2013,2013/08/01,185292.05,133708.66,51583.39,
Portfolio C,2013,2013/09/01,254491.08,124109.52,130381.56,
Portfolio C,2013,2013/10/01,225578.47,225503.99,74.48,
Portfolio C,2013,2013/11/01,309617.47,153118.92,156498.55,
Portfolio C,2013,2013/12/01,274928.14,155185.83,119742.31,
Portfolio D,2013,2013/01/01,237570.17,162643.05,74927.12,
Portfolio D,2013,2013/02/01,257680.39,198161.55,59565.84,
Portfolio D,2013,2013/03/01,174768.66,119719.72,55048.94,
Portfolio D,2013,2013/04/01,365406.63,243873.64,121532.99,
Portfolio D,2013,2013/05/01,407343.65,216928.53,190414.65,
Portfolio D,2013,2013/06/01,447442.49,281970.46,165472.03,
Portfolio D,2013,2013/07/01,338382.21,226562.32,116519.89,
Portfolio D,2013,2013/08/01,420895.82,299834.02,121061.8,
Portfolio D,2013,2013/09/01,372712.09,297567.41,75144.68,
Portfolio D,2013,2013/10/01,327743.92,253467.64,74276.28,
Portfolio D,2013,2013/11/01,355051.24,228515.13,126536.11,
Portfolio D,2013,2013/12/01,405464.62,282332.31,123132.31,
Portfolio E,2013,2013/01/01,259328.37,79555.51,179772.86,
Portfolio E,2013,2013/02/01,148634.89,37913.27,110721.62,
Portfolio E,2013,2013/03/01,294648.58,158668.06,135980.52,
Portfolio E,2013,2013/04/01,323183.44,193181.22,130002.22,
Portfolio E,2013,2013/05/01,486402.54,349878.89,136523.65,
Portfolio E,2013,2013/06/01,271422.03,175364.99,96057.04,
Portfolio E,2013,2013/07/01,379685.06,203415.69,176269.37,
Portfolio E,2013,2013/08/01,297242.37,125012.43,172229.94,
Portfolio E,2013,2013/09/01,222118.7,102186.33,119932.37,
Portfolio E,2013,2013/10/01,710925.32,134458.89,576466.43,
Portfolio E,2013,2013/11/01,719036.23,208468.74,510567.49,
Portfolio E,2013,2013/12/01,446498.54,127028.26,319470.28,
